text,type
RT @_Aaron_Anthony_: Do you even live in the UK unless you moan about how cold it is all winter and how it's too hot in the summer 🤔,y
RT @OceanHeadB_: It's cold af rn and I'm hungry,y
RT @ChristinaErne: 787 is seeing slight reduced visibility due to light rain and moderate fog. Cars taking it slow @WTEN,y
"light rain -&gt; light intensity drizzle
temperature down 40°F -&gt; 39°F
wind 9mph -&gt; 6mph",y
RT @markgirl: Don't forget to moisturize your hands before bed! It's important to keep your skin from drying out in the cold!,y
"It may be currently Partly Cloudy and 5C outside, at Nara City, Japan.",y
it's so warm today 😍😍,y
RT @BellScholey: Rome here we come!! @RobynEthel @FictionFest #sunshine!,y
that's the sunlight doing it. my camera does that too. https://t.co/zfouTEcLi6,y
Baby It's Cold Outside by Dean Martin #nowplaying #Q99,y
Morning sunshine 🌇 https://t.co/flnWkmJWia,y
"Loved being home for a few days, but happy to be leaving the cold weather to go spend 6 days… https://t.co/blSakA7kZx",y
RT @ERiCumbria: This is why the @BritishRedCross have an Emergency Response Team in #Cumbria and still have 4 Flood Recovery Suppor… ,y
Almost at home. Todaywaq a pretty warm day it was around 10 ceclius @Ms_Nutrilicious not 15 celcius. So for you it was REALLY cold,y
@katecooleyy dude. so fucking cold,y
"RT @AllanMargolin: Extreme rainfall risks could triple in US w #climatechange, scientists warn https://t.co/Flou81l1CU via @postgreen @dwat…",y
Imma skip again just bc it's too cold to get up,y
It's gone be cold this week 🙄 I'm not ready for this shit,y
Get ready for a cold blast of air Thursday and Friday. Highs drop to the 40s with lows in the 20s! https://t.co/NXjpI45tfr,y
"RT @DanyeForsha: Soo, is winter over? It it time for hot weather and lake days yet?",y
RT @Prada: Prada wallets in new colorways and patterns brighten up a cold holiday season. https://t.co/eUul3yLGmK https://t.co/0GN65S46uA,y
RT @lyssagrayson: THROW ALL THE SHADE U WANT MA ITS STILL SUNNY OVER HERE,y
Haven't seen no sunlight all week,y
RT @deereed82: A great day n nights fishing resulting with 14.08 common and 16.04 mirror. Tough going with the cold setting in. https://t.c…,y
I always have a cold at Christmas,y
i'm sooo tired of cold weather 🙄,y
RT @WXMolly: Light snow/freezing drizzle will fall across our area this afternoon. Temps will plummet after the arctic air moves… ,y
Today is Saturday and is sunny.,y
RT @hoeslovedre3: It's gone be cold this week 🙄 I'm not ready for this shit,y
"Drizzle &amp; clouds this morning, some clearing possible later. Highs in the 40s. Arctic cold front arrives tmrw night… https://t.co/Kl8aTfz4U8",y
it is too cold to do anything exept complain about how cold it is outside,y
@JoyceBronwyn Wish we had some of your sunny weather.,y
12:15  Overcast/Dry  Temp: 12.7oC Wind: 5.3 mph - SE Wind Chill: 12.5oC Grass Temp: 11.1C  Hum: 85% Baro: 1026.1 mb Rain:   0.0 mm,y
RT @liveforthehills: Misty and moody #peakdistrict #derbyshire #buxton https://t.co/9rVspINBEz,y
@planetepics  The only sunny day in the year i guess :),y
Currently: 40.9F and overcast -  light rain. It feels like 40.9F. #Hoboken #NYC #weather https://t.co/DJwEeFMs10,y
Thursday : Sunny skies. High 23C. Winds light and variable.,y
Weather check from #Kettering at 7:15am: 26 w/scattered clouds. Partly sunny &amp; 38 today... even colder tomorrow! #daywx,y
RT @discover_ist: #Istanbul on a rainy day ☔️☔️ https://t.co/aGmRuWJYMG,y
"Today seems warm, somehow...in my heart♥",y
RT @Rj_Krystleholic: Little Cloudy &amp; dark ... @karantacker #TackerHits500K @TackerPedia https://t.co/IYn83rXWLG,y
Partly Cloudy today! With a high of 76F and a low of 61F. Better news: I always follow back.,y
It will be cooler today under a mix of sun and clouds. A cold front passes through tomorrow and brings our temps... https://t.co/8PaVr84LO5,y
"Wed, 07 Dec 2016 07:14:11 -0500 Overcast T: 36.9 F (2.7 C) RH: 89% B: 30.02in+ Winds Calm",y
eek! I'm seeing a lot of #fog around 44 at 109. be prepared for a not-so-pretty commute #n4tm #TrafficSTL MORE &gt;&gt; https://t.co/vy60INL1pQ,y
"#weather,Temp:36.3ºF;Dew:34.0ºF;Pressure:29.33in.Hg.;Wind:0/mph@5.0º;rain0.00in;https://t.co/1kGAinWHlX",y
(Met) WSPD: 8 kn / GST: 12 kn / WVHT: 3.0 ft / DPD: 8.0 s / WDIR: 350° / ATMP: 58° F / WTMP: 74° F / DEW: 56° F /  6:50a EST,y
cold asf.,y
(Met) WSPD: 21 kn / GST: 27 kn / WVHT: 6.6 ft / DPD: 5.0 s / WDIR: 330° / ATMP: 54° F / WTMP: 74° F / DEW: 53° F /  6:50a EST,y
#fog along 44 and 64 in #STLCo. 70 looks good through the city of #StCharles. #n4tm #TrafficSTL MORE &gt;&gt; https://t.co/vy60INL1pQ,y
"We'll see some sunshine peeking through in Baton Rouge, Louisiana. James Stanley WeatherVision Meteorologist... https://t.co/i5mC4etJIy",y
#Cologne Dec 07 12:00 Temperature 3C cloudy Wind SE 14 km/h  Humidity 77% Germany .. https://t.co/rFqRfZa1YB,y
Partly Cloudy today! With a high of 53F and a low of 33F. I always follow back.,y
Cloudy today!,y
(Met) WSPD: 17 kn / GST: 19 kn / WVHT: 7.6 ft / DPD: 13.0 s / WDIR: 80° / ATMP: 82° F / WTMP: 83° F / DEW: 76° F /  7:50a AST,y
RT @zachchad: Geez it's cold.,y
Cloudy in Montclair today! High of 8 Enjoy? https://t.co/SqrejO7Obh,y
"Singapore @ 08:15PM - Temperature is 28.6°C, Mostly Cloudy (Feels Like: 30°C - Humidity: 59%) #SGWeather #SGHaze",y
@chocaholic6 @SkyeBlue72 @GEdelDrake @CassyC2107 @qutipie17 @TBistrek @Char_M80 afternoon wendy not cold here now x,y
(Met) WSPD: 4 kn / GST: 8 kn / WVHT: 2.0 ft / DPD: 7.0 s / WDIR: 140° / ATMP: 74° F / WTMP: 77° F / DEW: 61° F /  5:50a CST,y
(Met) WSPD: 12 kn / GST: 14 kn / WVHT: 1.6 ft / DPD: 6.0 s / WDIR: 360° / ATMP: 61° F / WTMP: 65° F / DEW: 56° F /  6:50a EST,y
(Met) WSPD: 10 kn / GST: 12 kn / WVHT: 4.3 ft / DPD: 8.0 s / WDIR: 360° / ATMP: 74° F / WTMP: 77° F / DEW: 64° F /  5:50a CST,y
#Düsseldorf Dec 07 13:00 Temperature 4C cloudy Wind S 18 km/h  Humidity 74% Germany .. https://t.co/9s1fOTHcWN,y
(Met) WSPD: 14 kn / GST: 19 kn / WVHT: 5.3 ft / DPD: 9.0 s / WDIR: 320° / ATMP: 57° F / WTMP: 74° F / DEW: 51° F /  6:50a EST,y
I've lived on cup soups since its been so cold,y
Dense fog advisory for Charlotte area until 10 a.m. https://t.co/LSukVzleox,y
It's 38 degrees in #SanFrancisco with cloudy skies &amp; winds at NW 6.93mph https://t.co/lyn9btbn1A,y
(Met) WSPD: 12 kn / GST: 14 kn / WVHT: 3.6 ft / DPD: 6.0 s / WDIR: 80° / ATMP: 71° F / WTMP: 76° F / DEW: 65° F /  5:50a CST,y
(Met) WSPD: 16 kn / GST: 17 kn / WVHT: 8.5 ft / DPD: 13.0 s / WDIR: 70° / ATMP: 81° F / WTMP: 82° F / DEW: 73° F /  8:50a WGT,y
(Met) WSPD: 6 kn / GST: 10 kn / WVHT: 4.6 ft / DPD: 8.0 s / WDIR: 350° / ATMP: 70° F / WTMP: 74° F / DEW: 61° F /  5:50a CST,y
(Met) WSPD: 14 kn / GST: 16 kn / WVHT: 3.6 ft / DPD: 5.0 s / WDIR: 80° / ATMP: 80° F / WTMP: 80° F / DEW: 75° F /  5:50a CST,y
(Met) WSPD: 21 kn / GST: 27 kn / WVHT: 9.2 ft / DPD: 8.0 s / WDIR: 250° / ATMP: 75° F / WTMP: 73° F / DEW: 72° F /  6:50a EST,y
(Met) WSPD: 10 kn / GST: 12 kn / WVHT: 3.9 ft / DPD: 11.0 s / WDIR: 230° / ATMP: 73° F / WTMP: 76° F / DEW: 63° F /  7:50a AST,y
Partly Cloudy today! With a high of 53F and a low of 33F. I always follow back.,y
"Weather forecast: Mostly sunny, relatively cold conditions https://t.co/z33qZi9zmx",y
"Cold Steel Black Talon II
ハンドル材:G10
ブレード:約11cm
刃厚：3ミリ強
刃材：CTS XHPステンレス
ベルトクリップ付き
https://t.co/l50ubKQQMg https://t.co/ldxuizigaS",y
"8am: Cloudy, -2.8, W 10, WC:-7. Wed 7: Chance of flurries, Hi:0, Lo:-1, POP:30%, RH:81%, 101.6kPa rsng, Dew:-5.6. https://t.co/IXtBlanSiL",y
Partly Cloudy today! With high of 81F / low of 74F. #IslamoradaWeatherToday,y
I never like being here. It's a cold and lonely place...,y
#Bonn Dec 07 12:00 Temperature 3C cloudy Wind SE 14 km/h  Humidity 77% Germany .. https://t.co/2EwuuOFNCB,y
(Met) WSPD: 12 kn / GST: 14 kn / WVHT: 2.6 ft / DPD: 9.0 s / WDIR: 90° / ATMP: 40° F / WTMP: 50° F / DEW: 31° F /  6:50a EST,y
(Met) WSPD: 10 kn / GST: 12 kn / WVHT: 2.6 ft / DPD: 5.0 s / WDIR: 40° / ATMP: 68° F / WTMP: 76° F / DEW: 64° F /  5:50a CST,y
(Met) WSPD: 16 kn / GST: 17 kn / WVHT: 6.9 ft / DPD: 6.0 s / WDIR: 50° / ATMP: 45° F / WTMP: 54° F / DEW: 44° F /  6:50a EST,y
Cloudy today! With a high of 52F and a low of 38F.,y
(Met) WSPD: 8 kn / GST: 10 kn / WVHT: 3.3 ft / DPD: 7.0 s / WDIR: 80° / ATMP: 73° F / WTMP: 77° F / DEW: 64° F /  5:50a CST,y
(Met) WSPD: 16 kn / GST: 17 kn / WVHT: 4.9 ft / DPD: 5.0 s / WDIR: 220° / ATMP: 77° F / WTMP: 78° F / DEW: 71° F /  6:50a EST,y
Partly Cloudy today! With a high of 46F and a low of 31F. #SpringGapWeather #TeamFollowBack,y
(Met) WSPD: 12 kn / GST: 16 kn / WVHT: 3.0 ft / DPD: 9.0 s / WDIR: 80° / ATMP: 42° F / WTMP: 51° F / DEW: 35° F /  6:50a EST,y
Partly Cloudy today! With a high of 53F and a low of 33F. I always follow back.,y
#Dublin Dec 07 12:00 Temperature 15C cloudy Wind S 31 km/h  Humidity 80% Ireland .. https://t.co/6CY18j6zBS,y
(Met) WSPD: 12 kn / GST: 14 kn / WVHT: 2.3 ft / DPD: 10.0 s / WDIR: 10° / ATMP: 35° F / WTMP: 49° F / DEW: 32° F /  6:50a EST,y
(Met) WSPD: 17 kn / GST: 19 kn / WVHT: 6.6 ft / DPD: 8.0 s / WDIR: 40° / ATMP: 45° F / WTMP: 53° F / DEW: 43° F /  6:50a EST,y
#Cardiff Midday Forecast: Light rain tomorrow morning.,y
"RT @wnct9weather: Clouds this AM but if clouds part, patchy fog could develop. Partly cloudy this PM. https://t.co/hXDpLirFcf",y
Felbrigg Hall park this morning. Was actually gorgeous - low winter sun with mist. Impossible to… https://t.co/rzTlIei7ZR,y
Cloudy today! With a high of 64F and a low of 56F. I always follow back.,y
Going to be a cold one today! ☃️❄️⛄️☃️❄️⛄️ #missouriwx https://t.co/iaNLnJCQJD,y
"Partly Cloudy today! With a high of 60F and a low of 42F. Oh, yeah, I always follow back.",y
#Kiel Dec 07 13:00 Temperature 4C overcast Wind SW 14 km/h  Humidity 87% Germany .. https://t.co/Amg9A32Ud8,y
I'm not even outside yet and I can just feel how cold I'm going to be,y
"AssalamOAlaikum, Good Evening Karachi!! Sunset at December 07, 2016 at 05:42PM. Current condition is Mostly Sunny. Today's high temp C #Kar…",y
Partly Cloudy today! With a high of 58F and a low of 44F. Also I always follow back.,y
".@HappyHiller Weather: Partly sunny, with a high near 47. https://t.co/d73yHpQsPe https://t.co/5ANGUIjoTj",y
Was out cold by 930 last night,y
Partly Cloudy today! With a high of 52F and a low of 16F. And I always follow back.,y
Cloudy today! With a high of 49F and a low of 35F.,y
"8am: Cloudy, -4.4, N 6km/h, WC:-7. Wed 7: Chance of flurries, Hi:0, Lo:0, POP:30%, RH:84%, 101.6kPa rsng, Dew:-6.7. https://t.co/AtWjxM8kkx",y
"Regina SK Weather, Temp:-18.6ºC; Dew:-21.9ºC; Pressure:1031.20hPa.; Wind:0/kph@346.0 Wind Chill:-18.6°C Humidity:75",y
#Lviv Dec 07 14:00 Temperature -2C cloudy Wind W 7 km/h  Humidity 85% Ukraine .. https://t.co/6HvshVbRMu,y
"Clima/Weather #Cancún =&gt; 25º , Partly Cloudy, 23º Min, 30º Max, Humedad 95%.",y
"17.4°C. 1003.2 hPa &amp; Falling. 79% Hum. 0.0 mm Rain. Wind 0.0 km/h ---. Fcast: Stormy, much precipitation. 23:15:09 AEST",y
AM Showers today! With a high of 43F and a low of 35F. https://t.co/XmDaVE5ATV,y
"@JoshuaDtown its cold some days, not as much next, and its been raining :(",y
"Few Snow Showers/Wind today! With a high of 14F and a low of 11F. Would you believe, I always follow back.",y
(Met) WSPD: 25 kn / GST: 33 kn / WVHT: 15.4 ft / DPD: 12.0 s / WDIR: 170° / ATMP: 40° F / WTMP: 41° F / DEW: 37° F /  2:50a AKST,y
"8am: Partly Cloudy, -10.2, SW 4, WC:-13. Wed 7: Chance of flurries, Hi:-4, Lo:-8, POP:30, RH:93, Dew:-11.1. https://t.co/it6y088DHC",y
Mostly Cloudy today! With a high of 38F and a low of 21F.,y
i hate the cold!😒,y
AM Snow Showers today! With a high of 37F and a low of 24F. Let me prove that I always follow back.,y
Don't miss the sun on rainy day !,y
Cloudy today! With a high of 60F and a low of 41F. Also a reminder that I always follow back.,y
Mostly Sunny today in Atlanta. With a high of 57 F and a low of 42 F. Pollen Count:3 https://t.co/cXpYx4jDq2,y
Partly Cloudy today! With a high of 75F and a low of 47F. I always follow back.,y
Partly Cloudy today! With a high of 49F and a low of 31F. BONUS: I always follow back.,y
"7am: Ice Crystals, -19.6, NW 35, WC:-33. Wed 7: Chance of flurries, Hi:-19, Lo:-27, POP:60, NW 40, RH:77, Dew:-22.7. https://t.co/cqY2RFXxXe",y
morning showers are the best 😩,y
Partly Cloudy today! With a high of 29F and a low of 17F. I ALWAYS follow back.,y
Partly Cloudy today! With a high of 62F and a low of 45F. #AustinWeather,y
"Phew it's hot in Dubai...not missing the cold, wet London weather now! :-)",y
06:15 AM overcast temp 16 dp 6 hum 64% wind NNW 10 gust 18.1 baro 30.36 inches and Rising slowly. Hi 23 low 16 rain 0.00.,y
"RT @seattletimes: Sunset’s glow closes clear, cold, short Seattle days (@ellenbanner) More photos: https://t.co/sTa1vCXTxF https://t.co/0jT…",y
AM Snow Showers today! With a high of 34F and a low of 24F. And I ALWAYS follow back!,y
"Good morning! The sun rises on December 07, 2016 at 07:13AM! Current local weather conditions: Mostly Cloudy.",y
says Afternoon &amp; Evening Showers Possibly Ending With A Stray Flurry. Hi 46 &amp; Lo 32. Decent &amp; Cold Thu-Sat. - https://t.co/HgvVfnRT6i #arwx,y
Cloudy today! High of 76F and Low of 61F. #rgv,y
RT @Dodge: Who needs a pot of gold when you have this kind of rainbow. #CarlisleChrysler http://t.co/NXkSyPTeVT,y
"@JimCantore @StephanieAbrams  Beautiful rainbow yesterday here on St. Croix, Virgin Islands. Enjoy https://t.co/DnprGujhVB",y
Weather for Warwickshire 12°C Wind: W at 14 km/h Humidity: 91% UvIndex: 0 Partly Cloudy today!,y
#Valletta Dec 07 13:00 Temperature 17C light rain Wind E 15 km/h  Humidity 89% Malta .. https://t.co/iAHh5aos60,y
"RT @GodfreyElfwick: I was informed by @bbcweather that yesterday would be cloudy with sunny intervals yet I experienced a light drizzle.
Mo…",y
"Sunrise: December 07, 2016 at 07:21AM Mostly Sunny today! With a high of: 21 and a low of:2 https://t.co/KmoZReIhAY",y
"Sunrise: December 07, 2016 at 07:21AM Mostly Sunny today! With a high of: 21 and a low of:2 https://t.co/NZYJVwIasR",y
Partly Cloudy today! The high: 62F &amp; the low: 42F. #JacksonvilleWeather #Follow4Follow,y
"RT @FrankFerragine: Gusty SW winds, mostly cloudy, afternoon temperature hovering near the freezing mark with wind chills of -4.  #citywx",y
"@tmtn @JWexlerBM @Sketchfab natural daylight, blind closed.",y
RT @dannysky69: UMRAH 2016 ; it's freezing !! especially when the cold wind hits you.. walking around Madinah after Fajr is ever so… ,y
"RT @MyNews13Weather: Rain is over, but fog forming overnight could reduce visibility below 1/4 mile in spots by Wed morning. https://t.co/u…",y
Warm today,y
"RT @NWSAmarillo: Just to put into perspective how cold it will be tomorrow, avg high temp for Minneapolis, MN on Dec 8th is 29 deg.… ",y
"Hi, my name is Hanns Eisler. I'm from Rhode Island. It is the 5th of August 2007, the weather outside is nice, but somewhat cloudy.",y
"Nah m8 i can't cope with this freezing when you leave the house, boiling by the time you get anywhere malarkey my glasses are foggy af 24/7",y
"Weather update: breezy this afternoon, but sunny here and there https://t.co/IoDpGL1NNH https://t.co/wlozY7Uxpb",y
Upminster Weather 12:15 PM  temp 12.0C  humidity 92 pct  average wind 2.6 mph direction  ESE  Rainfall   0.0 mm https://t.co/yOZv1A0Afb,y
RT @Piclogy: The Golden Gate Bridge shrouded in fog | Photography by ©Engel Ching https://t.co/4WSzCjHGHS,y
"Good morning. December 07, 2016 at 07:12AM, It'll be Cloudy.",y
RT @klantz29: It's hard to even try &amp; be a morning person when it's cold af outside,y
Honestly I hate my brothers they have the cold air on when it's freezing outside🤔,y
Weather Summary for Wetterstation Lichtenegg at 13:15: Curnt Cond: Out Temp 0.6 C Out Hum 74 % Dew -… Read more at https://t.co/2Ad4R4n9ad,y
Brrrr! Mainly cloudy with a small chance of flurries. Temperature steady near minus 2. That will be the high for the next 4 days.,y
RT @IndianExpress: At least 1400 tourists stranded due to heavy rainfall in the Andamans | READ https://t.co/eQKafu639x,y
"Sunrise at December 07, 2016 at 07:14AM! Today's High is 49F. Current conditions are Mostly Cloudy. https://t.co/f7w98ZnhRz",y
N Cold Af https://t.co/dTj2mW7Yok,y
RT @Selseylifeboat: New boathouse looking good in the sunshine. @RNLI @Reside_construc #shannon https://t.co/pE6GqWayRf,y
"RT @Marcynovakwx: It gets really cold, really fast this afternoon! It will feel like the teens/20s by 5 PM. Light snow flurries possi… ",y
"RT @Marcynovakwx: It gets really cold, really fast this afternoon! It will feel like the teens/20s by 5 PM. Light snow flurries possi… ",y
RT @982thebeat: #RipBigSyke Another Sunny Day by @SOUTHPSYCHOCIDE https://t.co/js5ZfvYa1d https://t.co/VM3JaO8nSc,y
"overcast clouds -&gt; clear sky
temperature down 55°F -&gt; 50°F
humidity up 81% -&gt; 93%
wind 7mph -&gt; 4mph",y
RT @VerZahK: Good morning everyone! Today will be very cold so dress warm https://t.co/FUfyjquHNl,y
RT @property_o: Cloudy Sunset ☁️☁️☁️ https://t.co/ujiILWJM8G,y
it's foggy af today,y
It's currently Mostly Cloudy and -4 C outside.,y
Literally ain't never lied 👌🏾👌🏾👌🏾👌🏾 two days ago it was a thunderstorm yesterday hot and today cold 😐 https://t.co/DLzAK4u9jy,y
mist...,y
"RT @TODAYshow: WATCH: “The bad news is, it’s just beginning.” @alroker talks arctic blast bringing cold temps. from coast-to-coast https://…",y
"Carolina Beach, NC Weather :: 46F Partly Cloudy

 Partly Cloudy 46°F

Humidity:

93

Wind Speed:

4 MPH

Wind Direction:

Northwest ( (330°…",y
RT @mdhotwife: Relaxing at home on a rainy nite! https://t.co/iqwEbha1PQ,y
It's too hot 😒 https://t.co/0ZWKHuthTx,y
Coloured light after the rain - my office window. Busy cataloging... #office #work #saleroom… https://t.co/HZtrLrzGvK,y
RT @wfaaweathertoo: A chilly start this morning before the REAL cold air moves in tonight. #iamup #wfaaweather https://t.co/sVP9RyAeqj,y
There's just something I love about a foggy morning and a sunrise.,y
"Ugh~ i-it's cold~ At time like this, boiled tofu tastes the best. ♪",y
#weather More outbreaks of drizzle affecting western coasts and hills through this afternoon. Sone sunshine further https://t.co/v47PO2Iq9X,y
its too cold,y
It's really cold,y
O god Chicago. .....very cold weather. .. https://t.co/HcCuhONK5f,y
Still pretty cold,y
@marielove_31733 its quiet over here usually but there was  horrible fog yesterday. It looked like a horror setting mwahahahaha,y
"Sunny day in the Hautes Cotes, inversion in Nuits St. Georges. 
Troposphere folly! https://t.co/SNnnwEiaem",y
"🙈 Today's a bit warm, so let's chilling 🍃🍃 @ Travelodge, Hounslow West https://t.co/skI4PiWigt",y
RT @joshfoxfilm: Brutal weather and temps at #standingrock. Please stay warm friends. We need you. The revolution has just begun.… ,y
RT @IndianExpress: At least 1400 tourists stranded due to heavy rainfall in the Andamans | READ https://t.co/eQKafu639x,y
"RT @amysweezey: After AM fog lifts, sunshine returns to Central #FL today! Highs climb to 75-80° (warmer than average but much cool… ",y
RT @Raully12: I don't fw this cold weather 😴,y
"Partly Cloudy today! With a high of 41F and a low of 28F. Yes, I always follow back.",y
"RT @SabrinaG2011: In the woods where snow is thick 
Bars of sunlight lay like pale fire. 
_Katherine Mansfield_ https://t.co/cNNdogCQsj",y
"Sunrise was at December 07, 2016 at 07:16AM! Today's high will be 48F with a low of 30F. Current conditions: Cloudy.",y
